obs,source
searches_query_serp,search_stream_metric_observation
processing_on_load_duration,web_performance_metric_observation
performance_exceptions_count_profile_item,app_performance_metric_observation
answered_inbox_first_messages_with_sellers_first,messenger_metric_observation
connection_duration_events,web_performance_metric_observation
item_views_witcher_delivery,search_stream_metric_observation
phone_views_total_vip,search_stream_metric_observation
secure_connection_events_p75,web_performance_metric_observation
buyer_target_clicks_witcher_regions,search_stream_metric_observation
item_views_serp_road,search_stream_metric_observation
searches_serp_extra_regions,search_stream_metric_observation
init_sessions_p50,new_performance_metric_observation
empty_map_serp,map_stream_metric_observation
localloading_duration,new_performance_metric_observation
item_no_city_reactivated,item_geo_metric_observation
from_session_start_to_c_p99,labor_metric_observation
bookkeeping_view_events,avitopro_tmp_metric_observation
search_btc_noquery,search_stream_metric_observation
radius_100_searches,geo_searches_metric_observation
dom_interactive_events,web_performance_metric_observation
new_items_more_10_photo,sellerx_metric_observation_w_startdate
searches_district_with_contact,search_stream_metric_observation
anonnumber_success_calls,communications_metric_observation
prepare_sessions_p95,new_performance_metric_observation
session_events_p25,web_performance_metric_observation
enter_success,cookie_account_enter
tooltip_opens,location_changings_metric_observation
map_with_contact,map_stream_metric_observation
payment_method_choice_wallet,billing_metric_observation
mini_m_geo_send_button_clicks,messenger_metric_observation
location_changings_search,location_changings_metric_observation
noncapital_city_level_searches,geo_searches_metric_observation
dom_interactive_session_events,web_performance_metric_observation
vas_amount_net_x10_1,mnz_vas_metric_observation
item_views_vas,search_stream_metric_observation
buyer_target_clicks_witcher_new_auto,search_stream_metric_observation
delivery_deals,delivery_metric_observation
messenger_spam_blocks,messenger_metric_observation
fav_added_rec_premium,search_stream_metric_observation
anonnumber_success_talks,communications_metric_observation
items_rejected_contacts_in_description,sellerx_metric_observation_w_startdate
helpdesk_delivery_text_claim_tickets,delivery_metric_observation
traffic_daily.other.item_add_category_suggest_service_response,click_stream_metric_observation
search_subscription_email_item_clicks,click_stream_metric_observation
traffic_daily.page_view.user_profile_notification_settings,click_stream_metric_observation
performance_exceptions_count_edit_item,app_performance_metric_observation
buyer_favouriteseller_notifications_off,click_stream_metric_observation
localloading_appstart_session_duration_events,new_performance_metric_observation
buyer_target_clicks_push,search_stream_metric_observation
new_items_more_5_description_word,sellerx_metric_observation_w_startdate
first_input_delay_events,web_performance_metric_observation
first_input_delay_duration_events,web_performance_metric_observation
paid_contact_amount_net_adj,b2b_core_daily_metric_observation
item_has_marginal_address_new,item_geo_metric_observation
location_text_inputs,click_stream_metric_observation
tooltip_not_accepts_russia,location_changings_metric_observation
first_paint_session_events_p95,web_performance_metric_observation
appcall_sx_incoming_call_log_callback,app_calls_metric_observation
appcall_sx_incoming_messenger_chat_long_answer,app_calls_metric_observation
searches_witcher_delivery_with_item_view,search_stream_metric_observation
request_response_events,web_performance_metric_observation
avitopro_item_graph_open,avitopro_key_actions_observations
searches_serp_with_filter,search_stream_metric_observation
vas_amount_fast,mnz_vas_metric_observation
location_changings_neutral_regions,location_changings_metric_observation
helpcenter_article_dislike,support_metric_observation
draw_duration,new_performance_metric_observation
items_started_wait,sellerx_metric_observation_w_startdate
search_btc_vip,search_stream_metric_observation
time_to_load_main,web_speed_metric_observartion
contacts_witcher_new_auto,search_stream_metric_observation
items_started_net,sellerx_metric_observation_w_startdate
article_views,support_metric_observation
anon_calls_matched_by_phone_map,matched_anonymous_calls_metric_observation
from_session_start_to_c_map_p25,labor_metric_observation
