metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
items_with_district,78135500016,item_has_district,,,,0,0,,item_geo_metric_observation,,item_geo_metric_observation
items_with_street_100m_from_location_new_per_new,91055500028,item_has_street_100m_from_location_new,items_started,,,0,0,,item_geo_metric_observation,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,item_geo_metric_observation"
lf_revenue_package_net,38264750005,lf_amount_net_listing_from_package,,,,0,0,,lf_metric_observation,,lf_metric_observation
loc_bad__susp_chng_sessions_per_s_sessions,18359750006,"location_changings_suspicious,location_changings_bad",searches,"session,participant","session,participant",0,0,,location_changings_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,location_changings_metric_observation"
loc_chng_neutral_russia,33620750020,location_changings_neutral_russia,,,,0,0,,location_changings_metric_observation,,location_changings_metric_observation
loc_chng_region_region,33620750022,location_changings_region_region,,,,0,0,,location_changings_metric_observation,,location_changings_metric_observation
map_clusters,76339250001,clusters,,,,0,0,,map_stream_metric_observation,,map_stream_metric_observation
new_buyers,3336250008,new_buyers,,participant,,0,0,,contacts_stream_observation,,contacts_stream_observation
payment_method_pv_per_listing_type_pv,2203750003,pages_payment_method,pages_listing_type,,,0,0,,lf_metric_observation,,lf_metric_observation
pin_clicks,4578000008,pin_clicks,,,,0,0,,map_stream_metric_observation,,map_stream_metric_observation
proprofile_c_per_s,91845500009,proprofile_searches_to_contact,proprofile_searches,,,0,0,,proprofile_metric_observation,proprofile_metric_observation,"proprofile_metric_observation,proprofile_metric_observation"
proprofile_ppc,91845500021,proprofile_proprofilecontacts,,,,0,0,,proprofile_metric_observation,,proprofile_metric_observation
public_profile_visit_from_subscribers_list,12721250015,public_profile_visit_from_fs,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
s_witcher_del_with_iv,80610750027,searches_witcher_delivery_with_item_view,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
s_witcher_reg_with_btc,80610750028,searches_witcher_regions_with_btc,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
searches_filter_any_per_search,82874000013,"searches_with_filter,searches_with_price_filter",searches,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
searches_saved_with_item_view,55093000048,searches_saved_with_item_view,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
searches_shop,86640250009,searches_shopx,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
seller_favorites_added_per_items_started_net_start_date,4506500006,seller_favorites_added,items_started_net,,,0,0,start,sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate"
seller_str_bookings_comfirmed,2820500052,seller_str_bookings_comfirmed,,,,0,0,,str_metric_observation,,str_metric_observation
sellers_favorite_added_start_date,4053000012,seller_favorites_added,,participant,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
sellers_own_item_viewed,5026000022,own_item_views,,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
suggest_searches_to_all_searches,28697000017,search_suggest_clicks,session_searches_with_empty_or_uniq_query,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
support_hc_article_dislike_regular,55587000004,helpcenter_article_dislike_regular,,,,0,0,,support_metric_observation,,support_metric_observation
total_blocking_time_percent_p75,83674250004,total_blocking_time_events_p75,total_blocking_time_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
user_c_from_witcher_del,80610750053,contacts_witcher_delivery,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
user_c_from_witcher_reg,80610750054,contacts_witcher_regions,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
user_enter_start_to_registration_cr,69868500012,registration_success,enter_start,participant,participant,0,0,,cookie_account_enter,cookie_account_enter,"cookie_account_enter,cookie_account_enter"
user_fav_map_total_per_user_map,55093000065,"fav_added_from_map,fav_added_serp_map_area",map_searches,participant,participant,0,0,,search_stream_metric_observation,map_stream_metric_observation,"map_stream_metric_observation,search_stream_metric_observation"
user_searches_with_shop_id,83608750012,searches_shop,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
users_bt_click_per_users,2120500011,"booking_created_short_rent,realty_development_phone_views,first_messages,favorites_added,phone_views_total,delivery_order_created","item_views,searches_without_query,booking_created_short_rent,realty_development_phone_views,searches_with_query,favorites_added,first_messages,phone_views_total,delivery_flow_beginings,delivery_order_created",participant,participant,0,0,,"click_stream_metric_observation,search_stream_metric_observation","click_stream_metric_observation,search_stream_metric_observation","click_stream_metric_observation,search_stream_metric_observation,click_stream_metric_observation,search_stream_metric_observation"
users_item_add_form_input_per_users_item_chain_started,45741500006,item_add_chains_form_input,item_chains_started,participant,participant,0,0,,sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate"
