,metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
956,searches_metro,33695500039,searches_metro,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
957,searches_metro_with_item_view,33695500045,searches_metro_with_item_view,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
958,searches_price_sort,4629750014,searches_price_sort,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
959,searches_radius_per_search,33695500048,searches_radius,searches,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
960,seller_items_favorites_removed,5026000018,seller_items_favorites_removed,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
961,seller_str_bookings_paid,2820500054,seller_str_bookings_paid,,,,0,0,,str_metric_observation,,str_metric_observation
962,serverloading_percent_p50,25067250022,serverloading_events_p50,serverloading_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
963,sessions_btc_sq,38927500011,btc_serp_query,,"participant,session",,0,0,,search_stream_metric_observation,,search_stream_metric_observation
964,sessions_c_rec_i2i_per_iv_rec_i2i,4873000059,contacts_rec_i2i,item_views_rec_i2i,"session,participant","participant,session",0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
965,sessions_iv_s_per_s,4873000082,item_views_serp,searches,"participant,session","participant,session",0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
966,sqp_wordbreaker_digit_suggest_to_searches,78449500019,sqp_wordbreaker_digit_suggest,searches,,,0,0,,,search_stream_metric_observation,search_stream_metric_observation
967,sqp_wordbreaker_replace_users_share,78449500025,sqp_wordbreaker_replace,searches,participant,participant,0,0,,click_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,click_stream_metric_observation"
968,subs_transactions_per_user,4927250054,subs_transactions,subs_users,,,0,0,,b2b_core_daily_metric_observation,b2b_core_daily_metric_observation,"b2b_core_daily_metric_observation,b2b_core_daily_metric_observation"
969,subs_w_extensions_amount_net_adj,4927250056,"ext_amount_net_adj,subs_amount_net_adj",,,,0,0,,b2b_core_daily_metric_observation,,b2b_core_daily_metric_observation
970,support_email_wizard_tickets_created,4855750005,"ticket_email_created,ticket_wizard_created",,,,0,0,,support_metric_observation,,support_metric_observation
971,user_item_views_total_push,34217500013,item_views_total_push,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
972,user_map_empty_search,76339250022,empty_map_serp,,participant,,0,0,,map_stream_metric_observation,,map_stream_metric_observation
973,user_witcher_btc_per_user_witcher_new_flats,84578500044,searches_witcher_new_flats_with_btc,searches_witcher_new_flats,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
974,users_active_item_more_10_photo,69347250029,active_items_more_10_photo,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
975,users_buyer_target_clicks_serp_radius,33695500073,buyer_target_clicks_serp_radius,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
976,users_contacts_serp_road_per_users_road,33695500083,contacts_serp_road,searches_road,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
977,users_fatal_app_errors,6395500008,fatal_app_error,,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
978,users_first_messages_new,48023500009,new_first_messages,,participant,,0,0,,first_message_metric_observation,,first_message_metric_observation
979,users_item_allowed,4053000018,items_allowed,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
980,users_item_blocked_rejected,4053000020,items_blocked_rejected,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
981,users_item_views_serp_radius,33695500088,item_views_serp_radius,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
982,users_loc_window_opens_radius,36712750009,location_dialogue_opens_radius,,participant,,0,0,,location_changings_metric_observation,,location_changings_metric_observation
983,users_new_item_more_40_description_word,69347250046,new_items_more_40_description_word,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
984,users_search,3343000004,searches,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
985,vas_avo,5080000055,vas_amount,vas_transactions,,,0,0,,mnz_vas_metric_observation,mnz_vas_metric_observation,"mnz_vas_metric_observation,mnz_vas_metric_observation"
